fips,population,county,state,old_rate,rate,typology
20055,36776,Finney County,Kansas,4.606264955,0.04606265,Hispanic Centers
20057,33848,Ford County,Kansas,1.29697471,0.012969747,Hispanic Centers
20059,25992,Franklin County,Kansas,0.015389351,0.000153894,Rural Middle America
20061,34362,Geary County,Kansas,6.917525173,0.069175252,Military Posts
20063,2695,Gove County,Kansas,0.853432282,0.008534323,Aging Farmlands
20065,2597,Graham County,Kansas,-7.008086253,-0.070080863,Aging Farmlands
20067,7829,Grant County,Kansas,-6.09273215,-0.060927322,Hispanic Centers
20069,6006,Gray County,Kansas,-5.877455877,-0.058774559,Aging Farmlands
20071,1247,Greeley County,Kansas,2.967121091,0.029671211,Aging Farmlands
20073,6689,Greenwood County,Kansas,-10.06129466,-0.100612947,Aging Farmlands
20075,2690,Hamilton County,Kansas,-6.394052045,-0.06394052,Hispanic Centers
20077,6034,Harper County,Kansas,-9.098442161,-0.090984422,Working Class Country
20079,34684,Harvey County,Kansas,-1.902894706,-0.019028947,Rural Middle America
20081,4256,Haskell County,Kansas,-11.18421053,-0.111842105,Hispanic Centers
20083,1916,Hodgeman County,Kansas,-10.07306889,-0.100730689,Aging Farmlands
20085,13462,Jackson County,Kansas,-1.708512851,-0.017085129,Rural Middle America
20087,19126,Jefferson County,Kansas,-3.963191467,-0.039631915,Rural Middle America
20089,3077,Jewell County,Kansas,-4.71238219,-0.047123822,Aging Farmlands
20091,544179,Johnson County,Kansas,12.07029305,0.120702931,Exurbs
20093,3977,Kearny County,Kansas,0.150867488,0.001508675,Hispanic Centers
20095,7858,Kingman County,Kansas,-4.937643166,-0.049376432,Aging Farmlands
20097,2553,Kiowa County,Kansas,-3.642773208,-0.036427732,Aging Farmlands
20099,21607,Labette County,Kansas,-6.585828667,-0.065858287,Rural Middle America
20101,1750,Lane County,Kansas,-10.05714286,-0.100571429,Aging Farmlands
20103,76227,Leavenworth County,Kansas,7.417319323,0.074173193,Military Posts
20105,3241,Lincoln County,Kansas,-9.318111694,-0.093181117,Aging Farmlands
20107,9656,Linn County,Kansas,-0.673156587,-0.006731566,Working Class Country
20109,2756,Logan County,Kansas,0.217706821,0.002177068,Aging Farmlands
20111,33690,Lyon County,Kansas,-4.485010389,-0.044850104,College Towns
20113,29180,McPherson County,Kansas,3.574366004,0.03574366,Rural Middle America
20115,12660,Marion County,Kansas,-6.611374408,-0.066113744,Rural Middle America
20117,10117,Marshall County,Kansas,-0.780863892,-0.007808639,Rural Middle America
20119,4575,Meade County,Kansas,-11.36612022,-0.113661202,Aging Farmlands
20121,32787,Miami County,Kansas,4.282185012,0.04282185,Rural Middle America
20123,6373,Mitchell County,Kansas,-9.053820807,-0.090538208,Aging Farmlands
20125,35471,Montgomery County,Kansas,-11.23452962,-0.112345296,Rural Middle America
20127,5923,Morris County,Kansas,-9.066351511,-0.090663515,Aging Farmlands
20129,3233,Morton County,Kansas,-16.45530467,-0.164553047,Aging Farmlands
20131,10178,Nemaha County,Kansas,0.933385734,0.009333857,Rural Middle America
20133,16512,Neosho County,Kansas,-3.682170543,-0.036821705,Rural Middle America
20135,3107,Ness County,Kansas,-13.51786289,-0.135178629,Aging Farmlands
20137,5671,Norton County,Kansas,-3.738317757,-0.037383178,Rural Middle America
20139,16295,Osage County,Kansas,-3.2463946,-0.032463946,Rural Middle America
20141,3858,Osborne County,Kansas,-9.279419388,-0.092794194,Aging Farmlands
20143,6091,Ottawa County,Kansas,-5.844688885,-0.058446889,Rural Middle America
20145,6973,Pawnee County,Kansas,-10.32554137,-0.103255414,Graying America
20147,5642,Phillips County,Kansas,-11.71570365,-0.117157037,Aging Farmlands
20149,21604,Pottawatomie County,Kansas,17.33012405,0.173301241,Exurbs
20151,9656,Pratt County,Kansas,-5.167771334,-0.051677713,Rural Middle America
20153,2519,Rawlins County,Kansas,1.667328305,0.016673283,Aging Farmlands
20155,64511,Reno County,Kansas,-4.050472013,-0.04050472,Rural Middle America
20157,4980,Republic County,Kansas,-6.144578313,-0.061445783,Aging Farmlands
20159,10083,Rice County,Kansas,-6.506000198,-0.065060002,Rural Middle America
20161,71115,Riley County,Kansas,1.186810096,0.011868101,College Towns
20163,5181,Rooks County,Kansas,-5.056938815,-0.050569388,Aging Farmlands
20165,3307,Rush County,Kansas,-10.61384941,-0.106138494,Aging Farmlands
20167,6970,Russell County,Kansas,-4.00286944,-0.040028694,Rural Middle America
20169,55606,Saline County,Kansas,-2.343272309,-0.023432723,Rural Middle America
20171,4936,Scott County,Kansas,4.355753647,0.043557536,Aging Farmlands
20173,498365,Sedgwick County,Kansas,5.108504811,0.051085048,Big Cities
20175,22952,Seward County,Kansas,-4.304635762,-0.043046358,Hispanic Centers
20177,177934,Shawnee County,Kansas,0.547955984,0.00547956,College Towns
20179,2556,Sheridan County,Kansas,-4.264475743,-0.042644757,Aging Farmlands
20181,6010,Sherman County,Kansas,-1.381031614,-0.013810316,Aging Farmlands
20183,3853,Smith County,Kansas,-7.344926032,-0.07344926,Aging Farmlands
20185,4437,Stafford County,Kansas,-8.226279017,-0.08226279,Aging Farmlands
20187,2235,Stanton County,Kansas,-6.756152125,-0.067561521,Aging Farmlands
20189,5724,Stevens County,Kansas,-8.280922432,-0.082809224,Hispanic Centers
20191,24132,Sumner County,Kansas,-7.251781866,-0.072517819,Rural Middle America
20193,7900,Thomas County,Kansas,0.379746835,0.003797468,Rural Middle America
20195,3001,Trego County,Kansas,-6.431189603,-0.064311896,Aging Farmlands
20197,7053,Wabaunsee County,Kansas,-2.495392032,-0.02495392,Rural Middle America
20199,1485,Wallace County,Kansas,1.818181818,0.018181818,Aging Farmlands
20201,5799,Washington County,Kansas,-4.638730816,-0.046387308,Aging Farmlands
20203,2234,Wichita County,Kansas,-3.670546106,-0.036705461,Aging Farmlands
20205,9409,Wilson County,Kansas,-8.343075779,-0.083430758,Rural Middle America
20207,3309,Woodson County,Kansas,-5.862798429,-0.058627984,Aging Farmlands
20209,157505,Wyandotte County,Kansas,7.453731628,0.074537316,Hispanic Centers
21001,18656,Adair County,Kentucky,1.32397084,0.013239708,Evangelical Hubs
21003,19956,Allen County,Kentucky,3.166967328,0.031669673,Evangelical Hubs
21005,21421,Anderson County,Kentucky,11.34867653,0.113486765,Evangelical Hubs
21007,8249,Ballard County,Kentucky,-6.315917081,-0.063159171,Working Class Country
21009,42173,Barren County,Kentucky,5.482180542,0.054821805,Working Class Country
21011,11591,Bath County,Kentucky,9.999137262,0.099991373,Working Class Country
